token,family,grade,variant,hex
violet-80v,violet-vivid,80,vivid,#39215e
violet-warm-5,violet-warm,5,,#f8f0f9
violet-warm-10,violet-warm,10,,#f6dff8
violet-warm-20,violet-warm,20,,#e2bee4
violet-warm-30,violet-warm,30,,#d29ad8
violet-warm-40,violet-warm,40,,#bf77c8
violet-warm-50,violet-warm,50,,#b04abd
violet-warm-60,violet-warm,60,,#864381
violet-warm-70,violet-warm,70,,#5c395a
violet-warm-80,violet-warm,80,,#382936
violet-warm-90,violet-warm,90,,#1b151b
violet-warm-5v,violet-warm-vivid,5,vivid,#fef2ff
violet-warm-10v,violet-warm-vivid,10,vivid,#fbdcff
violet-warm-20v,violet-warm-vivid,20,vivid,#f4b2ff
violet-warm-30v,violet-warm-vivid,30,vivid,#ee83ff
violet-warm-40v,violet-warm-vivid,40,vivid,#d85bef
violet-warm-50v,violet-warm-vivid,50,vivid,#be32d0
violet-warm-60v,violet-warm-vivid,60,vivid,#93348c
violet-warm-70v,violet-warm-vivid,70,vivid,#711e6c
violet-warm-80v,violet-warm-vivid,80,vivid,#481441
yellow-5,yellow,5,,#faf3d1
yellow-10,yellow,10,,#f5e6af
yellow-20,yellow,20,,#e6c74c
yellow-30,yellow,30,,#c9ab48
yellow-40,yellow,40,,#a88f48
yellow-50,yellow,50,,#8a7237
yellow-60,yellow,60,,#6b5a39
yellow-70,yellow,70,,#504332
yellow-80,yellow,80,,#332d27
yellow-90,yellow,90,,#1a1614
yellow-5v,yellow-vivid,5,vivid,#fff5c2
yellow-10v,yellow-vivid,10,vivid,#fee685
yellow-20v,yellow-vivid,20,vivid,#face00
yellow-30v,yellow-vivid,30,vivid,#ddaa01
yellow-40v,yellow-vivid,40,vivid,#b38c00
yellow-50v,yellow-vivid,50,vivid,#947100
yellow-60v,yellow-vivid,60,vivid,#776017
yellow-70v,yellow-vivid,70,vivid,#5c4809
yellow-80v,yellow-vivid,80,vivid,#422d19
